,month,city,state,aqi,missing_aqi
1175,January,bikaner,rajasthan,271.2903225806452,0.0
1176,January,bilaspur,chhattisgarh,95.55555555555556,0.12903225806451613
1177,January,bileipada,odisha,224.92857142857142,0.0967741935483871
1178,January,boisar,maharashtra,190.88235294117646,0.45161290322580644
1179,January,brajrajnagar,odisha,96.26666666666667,0.03225806451612903
1180,January,bulandshahr,uttar pradesh,229.74193548387098,0.0
1181,January,bundi,rajasthan,220.75862068965517,0.06451612903225806
1182,January,buxar,bihar,,1.0
1183,January,byasanagar,odisha,234.41935483870967,0.0
1184,January,byrnihat,assam,299.3181818181818,0.2903225806451613
1185,January,chamarajanagar,karnataka,43.903225806451616,0.0
1186,January,chandigarh,chandigarh,289.2258064516129,0.0
1187,January,chandrapur,maharashtra,177.90322580645162,0.0
1188,January,charkhi_dadri,haryana,162.61290322580646,0.0
1189,January,chengalpattu,tamil nadu,77.93333333333334,0.5161290322580645
1190,January,chennai,tamil nadu,103.90322580645162,0.0
1191,January,chhal,chhattisgarh,93.36666666666666,0.03225806451612903
1192,January,chhapra,bihar,310.35714285714283,0.0967741935483871
1193,January,chikkaballapur,karnataka,87.38709677419355,0.0
1194,January,chikkamagaluru,karnataka,61.166666666666664,0.03225806451612903
1195,January,chittoor,andhra pradesh,73.5,0.16129032258064516
1196,January,chittorgarh,rajasthan,204.52,0.1935483870967742
1197,January,churu,rajasthan,208.16666666666666,0.03225806451612903
1198,January,coimbatore,tamil nadu,99.1923076923077,0.16129032258064516
1199,January,cuddalore,tamil nadu,78.64285714285714,0.0967741935483871
1200,January,cuttack,odisha,270.16129032258067,0.0
1201,January,damoh,madhya pradesh,74.5,0.41935483870967744
1202,January,darbhanga,bihar,,1.0
1203,January,dausa,rajasthan,200.58064516129033,0.0
1204,January,davanagere,karnataka,72.63333333333334,0.03225806451612903
1205,January,dehradun,uttarakhand,230.10714285714286,0.0967741935483871
1206,January,delhi,delhi,354.83870967741933,0.0
1207,January,dewas,madhya pradesh,131.66666666666666,0.12903225806451613
1208,January,dhanbad,jharkhand,168.1,0.03225806451612903
1209,January,dharuhera,haryana,206.86206896551724,0.06451612903225806
1210,January,dharwad,karnataka,88.86666666666666,0.03225806451612903
1211,January,dholpur,rajasthan,256.1666666666667,0.03225806451612903
1212,January,dhule,maharashtra,136.83870967741936,0.0
1213,January,dindigul,tamil nadu,,1.0
1214,January,dungarpur,rajasthan,159.93548387096774,0.0
1215,January,durgapur,west bengal,201.10344827586206,0.06451612903225806
1216,January,eloor,kerala,55.22727272727273,0.2903225806451613
1217,January,ernakulam,kerala,,1.0
1218,January,faridabad,haryana,292.51612903225805,0.0
1219,January,fatehabad,haryana,151.11111111111111,0.12903225806451613
1220,January,firozabad,uttar pradesh,114.70967741935483,0.0
1221,January,gadag,karnataka,59.111111111111114,0.12903225806451613
1222,January,gandhinagar,gujarat,106.3225806451613,0.0
1223,January,gangtok,sikkim,48.25806451612903,0.0
1224,January,gaya,bihar,217.06451612903226,0.0
1225,January,ghaziabad,uttar pradesh,293.8709677419355,0.0
1226,January,gorakhpur,uttar pradesh,130.82758620689654,0.06451612903225806
1227,January,greater_noida,uttar pradesh,315.1290322580645,0.0
1228,January,gummidipoondi,tamil nadu,169.41935483870967,0.0
1229,January,gurugram,haryana,251.96774193548387,0.0
1230,January,guwahati,assam,263.4516129032258,0.0
1231,January,gwalior,madhya pradesh,208.32258064516128,0.0
1232,January,hajipur,bihar,200.96153846153845,0.16129032258064516
1233,January,haldia,west bengal,141.03333333333333,0.03225806451612903
1234,January,hanumangarh,rajasthan,312.2903225806452,0.0
1235,January,hapur,uttar pradesh,209.1,0.03225806451612903
1236,January,hassan,karnataka,80.6,0.3548387096774194
1237,January,haveri,karnataka,92.46153846153847,0.16129032258064516
1238,January,hisar,haryana,166.06896551724137,0.06451612903225806
1239,January,hosur,tamil nadu,,1.0
1240,January,howrah,west bengal,245.09677419354838,0.0
1241,January,hubballi,karnataka,83.54838709677419,0.0
1242,January,hyderabad,telangana,92.61290322580645,0.0
1243,January,imphal,manipur,110.25806451612904,0.0
1244,January,indore,madhya pradesh,126.0,0.0
1245,January,jabalpur,madhya pradesh,162.61290322580646,0.0
1246,January,jaipur,rajasthan,231.83870967741936,0.0
1247,January,jaisalmer,rajasthan,205.25806451612902,0.0
1248,January,jalandhar,punjab,143.48275862068965,0.06451612903225806
1249,January,jalgaon,maharashtra,114.76666666666667,0.03225806451612903
1250,January,jalna,maharashtra,142.0,0.03225806451612903
