,Name,Location,District,State,Region,Coordinates,Unit capacities,Capacity(MW),Operator,Sector
95,Barauni Thermal Power Station,Barauni,Begusarai,Bihar,Eastern,25°23′59″N 86°01′20″E﻿ / ﻿25.39972°N 86.02222°E﻿ / 25.39972; 86.02222﻿ (Barauni Thermal Power Station),"2 x 50, 2 x 105, 2 x 250",810,NTPC,State
96,Patratu Thermal Power Station,Patratu,Ramgarh Cantonment,Jharkhand,Eastern,23°38′27″N 85°17′36″E﻿ / ﻿23.64083°N 85.29333°E﻿ / 23.64083; 85.29333﻿ (Patratu Thermal Power Station),"4 x 40$, 2 x 90$, 2 x 105$, 2 x 110$",840,JSEB,State
97,Budge Budge Thermal Power Plant,Budge Budge,South 24 Paraganas,West Bengal,Eastern,22°28′09″N 88°08′23″E﻿ / ﻿22.46917°N 88.13972°E﻿ / 22.46917; 88.13972﻿ (Budge Budge Thermal Power Plant),3 x 250,750,CESCL,Private
98,Santaldih Thermal Power Station,Santaldih,Purulia,West Bengal,Eastern,23°36′08″N 86°28′06″E﻿ / ﻿23.60222°N 86.46833°E﻿ / 23.60222; 86.46833﻿ (Santaldih Thermal Power Station),"4 x 120$, 2 x 250",500,WBPDCL,State
99,Durgapur Thermal Power Station,Durgapur,Bardhaman,West Bengal,Eastern,23°31′09″N 87°18′05″E﻿ / ﻿23.51917°N 87.30139°E﻿ / 23.51917; 87.30139﻿ (Durgapur Thermal Power Plant),"2 x 30$, 1 x 70$, 2 x 75$, 1 x 110, 1 x 300",410,DVC,State
100,Bokaro Thermal Power Station,Bokaro,Bokaro,Jharkhand,Eastern,23°47′04″N 85°52′50″E﻿ / ﻿23.78444°N 85.88056°E﻿ / 23.78444; 85.88056﻿ (Bokaro Thermal Power Station B),"2 x 210$, 1 x 210, 1 x 500",710,DVC,Central
101,Kanti Thermal Power Station,Kanti,Muzaffarpur,Bihar,Eastern,26°11′41″N 85°18′06″E﻿ / ﻿26.19472°N 85.30167°E﻿ / 26.19472; 85.30167﻿ (Muzafferpur Thermal Power Station),"2 x 110, 2 x 195",610,NTPC,State
102,Sagardighi Thermal Power Station,Monigram,Murshidabad,West Bengal,Eastern,24°22′44″N 88°05′44″E﻿ / ﻿24.37889°N 88.09556°E﻿ / 24.37889; 88.09556﻿ (Sagardighi Thermal Power Station),2 x 300,600,WBPDCL,State
103,Talcher Thermal Power Station,Talcher,Angul,Odisha,Eastern,20°54′41″N 85°12′27″E﻿ / ﻿20.91139°N 85.20750°E﻿ / 20.91139; 85.20750﻿ (Talcher Thermal Power Station),"4 x 60, 2 x 110",460,NTPC,Central
104,Bandel Thermal Power Station,Bandel,Hooghly,West Bengal,Eastern,22°59′44″N 88°24′13″E﻿ / ﻿22.99556°N 88.40361°E﻿ / 22.99556; 88.40361﻿ (Bandel Thermal Power Station),"4 x 60, 1 x 210",450,WBPDCL,State
105,Jojobera Thermal Power Plant,Jojobera,East Singhbhum,Jharkhand,Eastern,22°45′21″N 86°14′57″E﻿ / ﻿22.75583°N 86.24917°E﻿ / 22.75583; 86.24917﻿ (Jojobera TPP),"3 x 120, 1x67.5",427.5,Tata Power,Private
106,Tenughat Thermal Power Station,Lalpania,Bokaro,Jharkhand,Eastern,23°43′38″N 85°45′53″E﻿ / ﻿23.72722°N 85.76472°E﻿ / 23.72722; 85.76472﻿ (Tenughat Thermal Power Station),2 x 210,420,TVNL,State
107,Hirakud Captive Power Plant,Hirakud,Sambalpur,Odisha,Eastern,21°47′08″N 84°03′18″E﻿ / ﻿21.78556°N 84.05500°E﻿ / 21.78556; 84.05500﻿ (Hirakud Power Station),"1 x 67.5, 3 x 100",367.5,Hindalco Industries,Private CPP
108,Durgapur Thermal Power Station,Durgapur,Bardhaman,West Bengal,Eastern,23°31′59″N 87°15′00″E﻿ / ﻿23.53306°N 87.25000°E﻿ / 23.53306; 87.25000﻿ (Durgapur Thermal Power Station),"1 x 140$, 1 x 210",210,DVC,Central
109,Titagarh Thermal Power Station,Titagarh,North 24 Paraganas,West Bengal,Eastern,22°43′56″N 88°22′11″E﻿ / ﻿22.73222°N 88.36972°E﻿ / 22.73222; 88.36972﻿ (Titagarh Thermal Power Station),4 x 60,240,CESCL,Private
110,CESC Southern Generating Station,Kolkata,Kolkata,West Bengal,Eastern,22°32′58″N 88°17′29″E﻿ / ﻿22.54944°N 88.29139°E﻿ / 22.54944; 88.29139﻿ (CESC Southern Generating Station),3 x 67.5,135,CESCL,Private
111,New Cossipore Generating Station,Cossipore,Kolkata,West Bengal,Eastern,,"2 x 30$, 2 x 50$, 1 x 100",100,CESCL,Private
112,,,,,,,,,,
113,NTPC Ramagundam,Ramagundam,Peddapalli,Telangana,Southern,18°45′31″N 79°27′17″E﻿ / ﻿18.75861°N 79.45472°E﻿ / 18.75861; 79.45472﻿ (NTPC Ramagundam),"3 x 200, 4 x 500","2,600",NTPC,Central
114,Simhadri Super Thermal Power Plant,Visakhapatnam,Visakhapatnam,Andhra Pradesh,Southern,17°35′38″N 83°5′23″E﻿ / ﻿17.59389°N 83.08972°E﻿ / 17.59389; 83.08972﻿ (Simhadri Super Thermal Power Plant),4 x 500,"2,000",NTPC,Central
115,Neyveli Thermal Power Station II,Neyveli,Cuddalore,Tamil Nadu,Southern,11°33′28″N 79°26′31″E﻿ / ﻿11.55778°N 79.44194°E﻿ / 11.55778; 79.44194﻿ (Neyveli Thermal Power Station - II),"7 x 210, 2 x 250","1,970",NLC,Central
116,Dr Narla Tatarao TPS,Ibrahimpatnam,Krishna,Andhra Pradesh,Southern,16°35′58″N 80°32′12″E﻿ / ﻿16.59944°N 80.53667°E﻿ / 16.59944; 80.53667﻿ (Dr Narla Tata Rao Thermal Power Station),"6 x 210, 1 x 500 1 x 800","2,560",APGENCO,State
