,Power station,Location,District,State,Region,Coordinates,Unit capacities,Capacity(MW),Operator,Sector
44,Spectrum Combined Cycle Power Plant,Kakinada,East Godavari,Andhra Pradesh,Southern,17°03′31″N 82°18′34″E﻿ / ﻿17.05861°N 82.30944°E﻿ / 17.05861; 82.30944﻿ (Spectrum Combined Cycle Power Plant),"2 x 46, 1 x 47, 1 x 70",209,Spectrum,Private
45,GMR (barge mounted) Power Plant,Kakinada,East Godavari,Andhra Pradesh,Southern,17°03′32″N 82°18′33″E﻿ / ﻿17.05889°N 82.30917°E﻿ / 17.05889; 82.30917﻿ (GMR barge mounted power station),1 x 237,237,GMR,Private
46,Panduranga CCPP,Annadevarapeta,West Godavari,Andhra Pradesh,Southern,,,116.0,PESPL,Private
47,RVK Energy power plant,Rajahmundry,East Godavari,Andhra Pradesh,Southern,,1×28,28.0,KVK,Private
48,Sriba power plant,Chigurukota,Krishna,Andhra Pradesh,Southern,,,30.0,Sriba industries,Private
49,Silkroad sugar power plant,Kakinada,East Godavari,Andhra Pradesh,Southern,,,35.0,EID Parry,Private
50,"Kusalava power plant, GMK Formerly",Gollapallem,East Godavari,Andhra Pradesh,Southern,,"2×1.1,1×1",3.2,Triveni,Private
51,Gas engine power plant,Pashamylaram,Medak,Telangana,Southern,,,35.0,Astha power,Private
52,Kochi Combined Cycle Power Station,Kochi,Ernakulam,Kerala,Southern,,"3 x 40.50, 1 x 35.5",157,BSES,Private
53,Rajiv Gandhi CCPP,Kayamkulam,Alappuzha,Kerala,Southern,09°14′19″N 76°25′49″E﻿ / ﻿9.23861°N 76.43028°E﻿ / 9.23861; 76.43028﻿ (Rajiv Gandhi CCPP),"2 x 115.20, 1 x 129.18",359.58,NTPC,Central
54,Valuthur Gas Turbine Power Station,Valuthur,Ramanathapuram,Tamil Nadu,Southern,,"1 x 61, 1 x 59.8, 1 x 34, 1 x 32.3",187.1,TNEB,State
55,Basin Bridge Gas Turbine Power Station,Chennai,Chennai,Tamil Nadu,Southern,13°05′55″N 80°16′10″E﻿ / ﻿13.09861°N 80.26944°E﻿ / 13.09861; 80.26944﻿ (Basin Bridge Gas Turbine Power Station),4 x 30,120,TNEB,State
56,Aban Combined Cycle Power Plant,Karuppur,Tanjore,Tamil nadu,Southern,11°07′16″N 79°31′45″E﻿ / ﻿11.12111°N 79.52917°E﻿ / 11.12111; 79.52917﻿ (Aban Combined Cycle Power Plant),"1 x 74.41, 1 x 38.80",113.21,Lanco Infratech,Private
57,Kovikalpal Gas Turbine Power Station,Thirumakkottai,Thiruvarur,Tamil Nadu,Southern,10°32′29″N 79°27′1″E﻿ / ﻿10.54139°N 79.45028°E﻿ / 10.54139; 79.45028﻿ (Thirumakottai Gas Turbine Power Station),"1 x 70, 1 x 38.88",108.88,TNEB,State
58,Kuttalam Gas Turbine Power Station,Maruthur,Nagapattinam,Tamil Nadu,Southern,,"1 x 64, 1 x 37",101,TNEB,State
59,PPN Combined Cycle Power Plant,Pillai Perumal Nallur,Nagapattinam district,Tamil Nadu,Southern,11°04′31″N 79°50′43″E﻿ / ﻿11.07528°N 79.84528°E﻿ / 11.07528; 79.84528﻿ (PPN Combined Cycle Power Plant),1 x 330.5,330.5,,Private
60,Valantarvy Power Station,Valantarvy,,Tamil Nadu,Southern,,1 x 52.8,52.8,Pioneer Gas Power Ltd,Private
61,Karaikal Gas Turbine Power Station,Karaikal,Karaikal,Puducherry,Southern,,"1 x 22.9, 1 x 9.6",32.5,PPCL,State
62,,,,,,,,,,
63,Maithan GT,Maithan,,West Bengal,Eastern,,1 x 90$,,DVC,State
64,Haldia GT,Haldia,,West Bengal,Eastern,,1 x 40,40,,State
65,Kasba Peak Load Power Generating Station[30][31],Kasba,Kolkata,West Bengal,Eastern,,2 x 20,40,CESC,Private
66,,,,,,,,,,
67,Lakwa Thermal Power Station,Maibella,Sivasagar,Assam,North Eastern,26°59′08″N 94°55′42″E﻿ / ﻿26.98556°N 94.92833°E﻿ / 26.98556; 94.92833﻿ (Lakwa Thermal Power Station),"3 x 15$, 3 x 20, 1 x 37.2 (WHRP)",97.2,APGCL,State
68,Namrup Thermal Power Station,,Dibrugarh,Assam,North Eastern,27°11′11″N 95°22′34″E﻿ / ﻿27.18639°N 95.37611°E﻿ / 27.18639; 95.37611﻿ (Namrup Thermal Power Station),"1 x 20$, 2 x 21, 1 x 11, 1 x 24, 1 x 14",91,APGCL,State
69,Khathalguri CCPP,,Khathalguri,Assam,North Eastern,,1 x 291,291,Neepco,State
70,Agartala GT,Agartala,,Tripura,North Eastern,,1 x 109.5,109.5,Neepco,State
71,Monarchak CCPP,,,Tripura,North Eastern,,1 x 65.4,65.4,Neepco,State
72,ONGC Tripura Power Company CCPP,Palatana-Udaipur,,Tripura,North Eastern,22°29′59″N 91°26′22″E﻿ / ﻿22.49972°N 91.43944°E﻿ / 22.49972; 91.43944﻿ (ONGC Tripura Power Company),2 x 363.3,726.6,ONGC,Central
73,Rokia GT,Bhishalgarh,West Tripura,Tripura,North Eastern,,1 x 111,111,,State
74,Baramura GT,Baramura,,Tripura,North Eastern,,1 x 58.5,58.5,,State
75,,,,,,,,,,
76,,,,,,,,,,
