,State,City,City Population,State Population,State Area (sq. km),Forest Area(sq. km in state),Registered Vehicles in City,Registered Vehicles in State,Farming Area (sq. km in state),Farmers (in state),Factories (in state),Shipping Cargo Volume ( million metric tons in state),Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Coal Capacity (Max Electricity ouput in MW),Gas Capacity (Max Electricity ouput in MW),aqi,missing_aqi,AQI Category
248,rajasthan,sri_ganganagar,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,286.69,1013.77,60.68,2.06,0.01,22.09,194.85,4955.0,856.8,310.258064516129,0.0,Very Poor
250,odisha,suakati,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,,,,,,,,11852.5,0.0,181.82142857142858,0.0967741935483871,Moderate
251,gujarat,surat,2894504,72653000.0,196244.0,14926.0,233403,26836981.0,518.3,6839415.0,36727.0,553.92,295.93,1017.81,65.59,3.54,0.0,8.41,263.0,15592.0,7990.72,69.09677419354838,0.0,Satisfactory
252,odisha,talcher,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,294.55,1015.68,67.7,1.9,0.01,21.44,203.69,11852.5,0.0,239.70967741935485,0.0,Poor
253,odisha,tensa,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,,,,,,,,11852.5,0.0,111.42857142857143,0.0967741935483871,Moderate
254,maharashtra,thane,1261517,127684000.0,307713.0,50798.0,410858,37786256.0,536.1999999999999,13486140.0,0.0,218.73,297.94,1014.47,60.1,2.64,0.0,11.89,228.85,16750.0,3460.0,160.29032258064515,0.0,Moderate
256,kerala,thiruvananthapuram,784153,35967000.0,38852.0,21253.0,101301,14184184.0,512.0,1322850.0,21464.0,35.37,301.11,1010.77,72.94,2.04,0.02,30.08,24.23,0.0,516.5799999999999,70.45161290322581,0.0,Satisfactory
257,tamil nadu,thoothukudi,410760,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,298.18,1003.22,73.46,2.71,0.05,42.59,90.15,12160.0,1013.49,51.74193548387097,0.0,Satisfactory
258,kerala,thrissur,,35967000.0,38852.0,21253.0,49889,14184184.0,512.0,1322850.0,21464.0,35.37,300.02,1011.61,67.84,2.58,0.02,36.4,103.38,0.0,516.5799999999999,58.208333333333336,0.22580645161290322,Satisfactory
259,tamil nadu,tiruchirappalli,775484,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,298.82,1012.72,73.27,3.15,0.01,33.63,29.92,12160.0,1013.49,69.8,0.6774193548387096,Satisfactory
261,andhra pradesh,tirupati,250821,53402000.0,162968.0,29784.0,,13108491.0,351.3,16967754.0,0.0,175.18,295.38,999.21,76.58,2.01,0.01,29.48,88.54,11275.0,7508.2,65.61290322580645,0.0,Satisfactory
262,tamil nadu,tirupur,,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,,,,,,,,12160.0,1013.49,74.48387096774194,0.0,Satisfactory
263,rajasthan,tonk,151331,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,288.47,1004.57,57.41,2.15,0.01,11.92,260.69,4955.0,856.8,191.78571428571428,0.0967741935483871,Moderate
264,karnataka,tumakuru,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,294.69,997.65,65.79,2.9,0.03,37.22,104.08,7080.0,0.0,125.1304347826087,0.25806451612903225,Moderate
265,chhattisgarh,tumidih,,30638000.0,135192.0,55717.0,,6986219.0,325.0,5091882.0,5103.0,0.0,,,,,,,,17795.0,0.0,94.875,0.4838709677419355,Satisfactory
266,rajasthan,udaipur,422784,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,288.21,990.47,53.6,2.13,0.0,11.04,252.0,4955.0,856.8,146.74193548387098,0.0,Moderate
267,karnataka,udupi,165000,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,299.42,1009.97,71.32,2.46,0.01,29.77,131.0,7080.0,0.0,47.26086956521739,0.25806451612903225,Good
268,madhya pradesh,ujjain,457346,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,290.26,997.68,55.77,2.55,0.01,11.97,243.31,15720.0,0.0,173.16129032258064,0.0,Moderate
269,maharashtra,ulhasnagar,516584,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,297.46,1012.74,54.67,2.08,0.0,11.97,236.85,16750.0,3460.0,200.76666666666668,0.03225806451612903,Poor
270,gujarat,vapi,,72653000.0,196244.0,14926.0,,26836981.0,518.3,6839415.0,36727.0,553.92,295.93,1017.81,65.59,3.54,0.0,8.41,263.0,15592.0,7990.72,225.55555555555554,0.12903225806451613,Poor
271,uttar pradesh,varanasi,1164404,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,287.74,1016.66,80.64,1.96,0.02,30.66,148.69,16608.0,1469.0,69.45161290322581,0.0,Satisfactory
272,gujarat,vatva,,72653000.0,196244.0,14926.0,,26836981.0,518.3,6839415.0,36727.0,553.92,,,,,,,,15592.0,7990.72,99.65517241379311,0.06451612903225806,Satisfactory
273,tamil nadu,vellore,177081,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,295.67,1001.66,74.45,2.29,0.02,36.89,127.38,12160.0,1013.49,93.23076923076923,0.5806451612903226,Satisfactory
274,karnataka,vijayapura,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,295.77,985.12,51.98,3.16,0.06,24.04,191.46,7080.0,0.0,53.1,0.03225806451612903,Satisfactory
275,andhra pradesh,vijayawada,874587,53402000.0,162968.0,29784.0,,13108491.0,351.3,16967754.0,0.0,175.18,296.9,1015.39,74.81,1.93,0.01,26.18,105.77,11275.0,7508.2,76.33333333333333,0.5161290322580645,Satisfactory
276,maharashtra,virar,150357,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,298.42,1015.98,63.56,3.44,0.0,11.39,242.46,16750.0,3460.0,128.06896551724137,0.06451612903225806,Moderate
277,tamil nadu,virudhunagar,,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,298.42,1007.8,70.71,2.58,0.02,38.66,41.77,12160.0,1013.49,61.1578947368421,0.3870967741935484,Satisfactory
278,andhra pradesh,visakhapatnam,1063178,53402000.0,162968.0,29784.0,,13108491.0,351.3,16967754.0,0.0,175.18,296.64,1016.02,76.74,2.59,0.0,23.01,135.15,11275.0,7508.2,193.60714285714286,0.0967741935483871,Moderate
279,uttar pradesh,vrindavan,,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,287.01,1012.16,68.28,2.26,0.02,16.35,234.77,16608.0,1469.0,77.64285714285714,0.0967741935483871,Satisfactory
280,karnataka,yadgir,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,,,,,,,,7080.0,0.0,90.03448275862068,0.06451612903225806,Satisfactory
281,haryana,yamunanagar,208931,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.65,1014.79,56.49,2.51,0.02,30.14,78.08,4065.0,430.0,146.1,0.03225806451612903,Moderate
