,State,City,City Population,State Population,State Area (sq. km),Forest Area(sq. km in state),Registered Vehicles in City,Registered Vehicles in State,Farming Area (sq. km in state),Farmers (in state),Factories (in state),Shipping Cargo Volume ( million metric tons in state),Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Coal Capacity (Max Electricity ouput in MW),Gas Capacity (Max Electricity ouput in MW),aqi,missing_aqi,AQI Category
37,bihar,bhagalpur,361548,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,289.12,1018.82,66.06,2.51,0.07,20.47,229.0,10040.0,0.0,360.5,0.03225806451612903,Very Poor
38,rajasthan,bharatpur,229384,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,287.28,1011.09,67.76,2.14,0.01,15.23,245.15,4955.0,856.8,239.71428571428572,0.0967741935483871,Poor
39,chhattisgarh,bhilai,625138,30638000.0,135192.0,55717.0,,6986219.0,325.0,5091882.0,5103.0,0.0,292.94,1004.49,56.61,1.9,0.01,16.15,213.54,17795.0,0.0,120.41935483870968,0.0,Moderate
40,rajasthan,bhilwara,326431,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,288.45,997.63,55.78,2.18,0.01,11.1,243.69,4955.0,856.8,179.06896551724137,0.06451612903225806,Moderate
41,rajasthan,bhiwadi,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,286.7,1012.12,68.42,2.29,0.01,22.34,188.62,4955.0,856.8,261.53333333333336,0.03225806451612903,Poor
42,maharashtra,bhiwandi,707035,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,297.63,1013.51,54.33,2.2,0.0,11.92,237.0,16750.0,3460.0,178.0909090909091,0.2903225806451613,Moderate
43,haryana,bhiwani,190855,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.7,1010.04,63.44,2.31,0.02,19.58,221.23,4065.0,430.0,167.25806451612902,0.0,Moderate
44,madhya pradesh,bhopal,1599914,87954000.0,308252.0,77493.0,83161,17923162.0,515.3,12192267.0,6895.0,0.0,289.48,1001.14,62.48,2.28,0.01,16.54,219.62,15720.0,0.0,170.90322580645162,0.0,Moderate
45,karnataka,bidar,204071,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,295.06,986.96,52.61,2.83,0.01,20.58,216.38,7080.0,0.0,130.77272727272728,0.2903225806451613,Moderate
46,bihar,bihar_sharif,,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,288.4,1016.77,71.5,2.15,0.07,26.95,169.46,10040.0,0.0,148.89285714285714,0.0967741935483871,Moderate
47,rajasthan,bikaner,576015,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,287.82,1010.68,53.19,2.44,0.01,15.52,237.92,4955.0,856.8,271.2903225806452,0.0,Poor
48,chhattisgarh,bilaspur,282705,30638000.0,135192.0,55717.0,,6986219.0,325.0,5091882.0,5103.0,0.0,291.97,1003.09,57.06,1.92,0.01,15.45,222.85,17795.0,0.0,95.55555555555556,0.12903225806451613,Satisfactory
49,odisha,bileipada,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,,,,,,,,11852.5,0.0,224.92857142857142,0.0967741935483871,Poor
50,maharashtra,boisar,,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,,,,,,,,16750.0,3460.0,190.88235294117646,0.45161290322580644,Moderate
51,odisha,brajrajnagar,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,,,,,,,,11852.5,0.0,96.26666666666667,0.03225806451612903,Satisfactory
52,uttar pradesh,bulandshahr,198612,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,286.72,1011.12,70.54,2.52,0.02,18.63,223.77,16608.0,1469.0,229.74193548387098,0.0,Poor
53,rajasthan,bundi,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,289.01,1002.57,58.11,1.95,0.01,11.46,259.54,4955.0,856.8,220.75862068965517,0.06451612903225806,Poor
55,odisha,byasanagar,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,294.55,1015.68,67.7,1.9,0.01,21.44,203.69,11852.5,0.0,234.41935483870967,0.0,Poor
56,assam,byrnihat,,36159000.0,78438.0,28312.0,,4358529.0,350.5,1845346.0,6425.0,0.0,,,,,,,,0.0,479.2,299.3181818181818,0.2903225806451613,Poor
57,karnataka,chamarajanagar,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,,,,,,,,7080.0,0.0,43.903225806451616,0.0,Good
58,chandigarh,chandigarh,960787,1247000.0,114.0,22.88,,1058857.0,127.4,1687.0,423.0,0.0,285.62,998.69,67.12,2.3,0.04,26.4,196.92,0.0,0.0,289.2258064516129,0.0,Poor
59,maharashtra,chandrapur,,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,294.52,1007.63,55.34,1.91,0.01,14.49,234.23,16750.0,3460.0,177.90322580645162,0.0,Moderate
60,haryana,charkhi_dadri,,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.7,1010.04,63.44,2.31,0.02,19.58,221.23,4065.0,430.0,162.61290322580646,0.0,Moderate
61,tamil nadu,chengalpattu,,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,298.13,1013.29,75.01,2.96,0.01,38.37,45.31,12160.0,1013.49,77.93333333333334,0.5161290322580645,Satisfactory
62,tamil nadu,chennai,4328063,77165000.0,130060.0,26419.0,570304,32094588.0,371.2,9606547.0,28200.0,140.37,299.01,1014.51,76.97,2.98,0.01,33.31,29.62,12160.0,1013.49,103.90322580645162,0.0,Moderate
63,chhattisgarh,chhal,,30638000.0,135192.0,55717.0,,6986219.0,325.0,5091882.0,5103.0,0.0,,,,,,,,17795.0,0.0,93.36666666666666,0.03225806451612903,Satisfactory
64,bihar,chhapra,,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,288.09,1016.37,71.95,2.19,0.2,25.93,165.38,10040.0,0.0,310.35714285714283,0.0967741935483871,Very Poor
65,karnataka,chikkaballapur,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,,,,,,,,7080.0,0.0,87.38709677419355,0.0,Satisfactory
66,karnataka,chikkamagaluru,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,294.53,968.87,59.31,1.73,0.08,34.12,146.15,7080.0,0.0,61.166666666666664,0.03225806451612903,Satisfactory
67,andhra pradesh,chittoor,,53402000.0,162968.0,29784.0,,13108491.0,351.3,16967754.0,0.0,175.18,295.67,1001.66,74.45,2.29,0.02,36.89,127.38,11275.0,7508.2,73.5,0.16129032258064516,Satisfactory
68,rajasthan,chittorgarh,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,288.95,998.1,55.94,2.22,0.01,10.72,246.69,4955.0,856.8,204.52,0.1935483870967742,Poor
69,rajasthan,churu,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,287.51,1005.58,50.94,2.38,0.01,17.37,232.15,4955.0,856.8,208.16666666666666,0.03225806451612903,Poor
70,tamil nadu,coimbatore,959823,77165000.0,130060.0,26419.0,106703,32094588.0,371.2,9606547.0,28200.0,140.37,297.35,1001.67,66.4,2.33,0.02,35.91,55.38,12160.0,1013.49,99.1923076923077,0.16129032258064516,Satisfactory
71,tamil nadu,cuddalore,158569,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,298.46,1017.6,82.38,4.52,0.03,40.23,97.31,12160.0,1013.49,78.64285714285714,0.0967741935483871,Satisfactory
