,City,Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Latitude,Longitude
96,virar,298.42,1015.98,63.56,3.44,0.0,11.39,242.46,19.4497996,72.8120613
97,kolhapur,294.83,985.38,58.85,2.22,0.0,20.75,192.38,16.7028412,74.2405329
98,nagpur,293.76,1013.52,59.77,1.63,0.01,17.58,194.31,21.1498134,79.0820556
99,chandrapur,294.52,1007.63,55.34,1.91,0.01,14.49,234.23,19.9508161,79.2986673
100,pune,293.99,985.73,53.89,2.12,0.0,14.26,235.92,18.521428,73.8544541
101,jalgaon,294.34,1006.9,48.74,2.38,0.01,12.38,257.85,20.9968453,75.5683795
102,solapur,296.53,991.91,49.09,2.96,0.0,19.23,219.31,17.6699734,75.9008118
103,ulhasnagar,297.46,1012.74,54.67,2.08,0.0,11.97,236.85,19.2236329,73.1671515
104,amravati,293.94,1002.7,51.59,2.31,0.02,15.38,237.62,20.9316219,77.7588455
105,parbhani,295.14,997.06,50.26,2.41,0.0,17.47,226.62,19.262469,76.7718
106,badlapur,294.22,999.9,48.98,2.29,0.01,15.32,243.0,20.78078305,76.93220903897831
107,akola,294.22,999.9,48.98,2.29,0.01,15.32,243.0,20.7116604,77.002632
108,mumbai,298.45,1015.62,63.76,3.13,0.0,11.86,229.69,19.0785451,72.878176
109,jalna,293.88,997.25,52.09,2.33,0.0,16.13,222.23,19.8393394,75.8818806
110,nashik,292.9,983.15,51.97,2.22,0.0,13.38,246.23,20.0112475,73.7902364
111,belapur,297.7,1013.39,58.5,2.41,0.0,12.26,225.46,19.0257331,73.0420988
112,malegaon,293.79,988.86,49.14,2.34,0.0,13.59,250.23,20.5576062,74.5246514
113,thane,297.94,1014.47,60.1,2.64,0.0,11.89,228.85,19.1943294,72.9701779
114,navi_mumbai,297.7,1013.39,58.5,2.41,0.0,12.26,225.46,19.0308262,73.0198537
115,mahad,296.15,1005.3,62.68,1.76,0.0,13.23,240.31,18.080753,73.42438
116,nanded,293.76,1013.52,59.77,1.63,0.01,17.58,194.31,20.739199,79.78100430660089
117,baripada,293.11,1017.05,66.33,2.31,0.01,17.64,225.85,21.9342456,86.7308825
118,angul,294.55,1015.68,67.7,1.9,0.01,21.44,203.69,20.8382426,85.0973949
119,cuttack,294.55,1015.68,67.7,1.9,0.01,21.44,203.69,20.4686,85.8792
120,balasore,293.11,1017.05,66.33,2.31,0.01,17.64,225.85,21.5017098,86.9216712
121,keonjhar,294.55,1015.68,67.7,1.9,0.01,21.44,203.69,21.6376203,85.6088638
122,rairangpur,291.38,1009.7,58.46,1.56,0.01,17.86,217.85,22.2675737,86.1750612
123,talcher,294.55,1015.68,67.7,1.9,0.01,21.44,203.69,20.9458183,85.2111736
124,byasanagar,294.55,1015.68,67.7,1.9,0.01,21.44,203.69,20.9587602,86.1226688
125,rourkela,292.64,1008.53,61.84,1.76,0.01,15.32,215.46,22.2309255,84.8678705
126,nayagarh,294.62,1016.19,73.44,1.87,0.01,22.71,186.77,20.1272799,85.1044062
127,barbil,291.38,1009.7,58.46,1.56,0.01,17.86,217.85,22.1118877,85.3868485
128,sirohi,291.29,1010.26,49.93,2.36,0.0,8.67,259.15,24.8858,72.8589
129,baran,289.01,1002.57,58.11,1.95,0.01,11.46,259.54,25.0981904,76.5169876
130,banswara,290.39,994.53,53.49,2.94,0.0,10.42,256.31,23.550075,74.446294
